specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
H2O,1_F_earth,1_M_earth,5000,10905416.733708505,374865.5121804417,5257.233173918378,3133.748494441034,4660283959602.458,160193762061.63495
H2O,1_F_earth,1_M_earth,6000,26783847.295815025,920674.6408574992,6015.48252406181,2965.0220804713945,8170338865826.186,280849264032.12946
H2O,1_F_earth,1_M_earth,7000,57071301.09433651,1961783.1246561971,6255.9507109754095,2829.9341678006967,13673630270712.355,470020774075.77466
H2O,1_F_earth,10_M_earth,200,434576.8532208229,2142.820953085706,0.0001013248306423,0.1107283082407634,100375430634.90527,494933345.72557926
H2O,1_F_earth,10_M_earth,300,513299.6990358993,2530.98926497084,0.0177025679947792,19.437061933090543,113558942131.90591,559938889.5359498
H2O,1_F_earth,10_M_earth,500,665576.421738648,3281.838624885707,0.947757172110305,913.0400089672178,135454876636.39914,667903837.2681737
H2O,1_F_earth,10_M_earth,1000,1093294.05354684,5390.837980580974,42.60210975929227,10934.933684860309,183152968936.64325,903094623.0766474
H2O,1_F_earth,10_M_earth,2000,2595068.1586017264,12795.818239568574,397.1188021772562,24534.844895548013,300341484946.7729,1480930294.0435188
H2O,1_F_earth,10_M_earth,3000,5173112.187771075,25507.69353329136,698.9979013206244,26282.207612481758,443808275344.692,2188339449.0829
H2O,1_F_earth,10_M_earth,4000,10604137.90335172,52287.11267133737,942.792002005101,25517.40678387511,671091202081.5693,3309031023.152887
H2O,1_F_earth,10_M_earth,5000,19193238.43343934,94638.43545262488,2297.006461345657,24093.44721562565,960008294505.013,4733629675.292717
H2O,1_F_earth,10_M_earth,6000,33664024.291367374,165991.29954138046,7450.843621156991,23221.59502194759,1364200690798.6345,6726630290.573511
H2O,1_F_earth,10_M_earth,7000,63492219.92990527,313068.81214539555,18622.356890480085,23039.091341635205,2013929854565.6792,9930328912.8824
H2O,1000_F_earth,1_M_earth,200,24985.253692567843,2474.6750822506465,2.629366186236301e-07,2.1263089097450187e-07,1940505419363.2832,192198184871.70712
H2O,1000_F_earth,1_M_earth,300,27545.78084241992,2728.2835832141595,6.969431424024701e-05,0.0005732131346793,2120047212641.0024,209980978175.068
H2O,1000_F_earth,1_M_earth,500,31794.057347077334,3149.0559370971946,0.0148374323506532,0.4533076269964919,2403301882955.795,238036057510.43005
H2O,1000_F_earth,1_M_earth,1000,40363.26893732032,3997.7971449247407,1.4119614273917829,63.53585555129786,2918648049082.9634,289078737794.5874
H2O,1000_F_earth,1_M_earth,2000,55400.55682395758,5487.171721447855,12.772639300158216,561.2546935804227,3676310385225.248,364121726234.159
H2O,1000_F_earth,1_M_earth,3000,70576.30049769046,6990.259710311492,23.52633119775961,962.3083491417118,4313158400302.527,427198608841.9717
H2O,1000_F_earth,1_M_earth,4000,86969.97072983583,8613.977753334293,29.407760521389307,1156.8764228975076,4910872431382.58,486399449354.7656
H2O,1000_F_earth,1_M_earth,5000,105128.32654841852,10412.479831072023,32.607127688108214,1249.9988390720523,5501341388504.328,544882698434.8567
H2O,1000_F_earth,1_M_earth,6000,140855.60435231312,13951.103261749618,33.60704969039011,1264.798728671405,6602689284860.854,653966169410.9142
H2O,1000_F_earth,1_M_earth,7000,167309.24223155668,16571.215080510898,34.17793135200079,1249.9616199401223,7273793723392.118,720435994054.5258
H2O,1000_F_earth,10_M_earth,200,183682.60682555728,166078.917552548,34.33390865906322,35.33159984090757,39033991661.50947,35293069904.30126
H2O,1000_F_earth,10_M_earth,300,226725.3243541484,204996.5268962427,1288.466494607036,1323.7465495071915,44261094644.0235,40019220192.96779
H2O,1000_F_earth,10_M_earth,500,317597.41080750927,287159.6560827122,11161.09524711954,11447.651044563523,52853845025.92438,47788462512.03302
H2O,1000_F_earth,10_M_earth,1000,654092.0304211173,591405.4589570031,22223.5246270738,22767.09581811297,74445364897.32104,67310704223.03728
