file,T_inf,weighted_mass_loss_kg_s,species,Mdot_kg_s,lambda_j,v_th_m_s,effusion_velocity_m_s,n_exo_m3,exobase_altitude_km,exobase_radius_m,T_exo_K,exobase_index,jeans_valid,escape_regime,atmosphere_type,mass_case,flux_case
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,H2O,8.345793648878623e-33,84.8618160383241,950.5269115521529,3.2147049974528415e-33,127876321541.38283,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,H,0.021343918280586325,4.714545335462449,4032.7441491529985,58.27421022684939,324738571.573577,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,O,4.107726894786193e-34,75.43272536739919,1008.1860372882496,3.777449873466175e-29,602585.9367047203,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,C,2.2313400886097998e-26,56.5745440255494,1164.152960043186,5.088893187483894e-21,323964.4154935985,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,CH4,7.232843061667673e-28,75.43272536739919,1008.1860372882496,3.777449873466175e-29,1061027089431.1991,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,CO,4.1380518997817416e-53,132.0072693929486,762.1170085578287,1.3374065049523275e-53,97973944565.61554,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,CO2,5.047652124254801e-87,207.4399947603478,607.9590553746149,2.9053964573522442e-86,3500801288.934156,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,O2,2.124817255414514e-70,150.86545073479837,712.8951836641147,9.222463988797814e-62,63.83527903089262,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,N,6.01426267103371e-34,66.0036346964743,1077.7962096176934,4.405708386859746e-25,86.45193757984237,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,NO,1.3176276673731507e-68,141.43636006387348,736.2749797126918,1.1117963937379679e-57,0.3502533620367879,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,N2,2.3665673941564604e-55,132.0072693929486,762.1170085578287,1.3374065049523275e-53,560316661.8043329,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,NH3,4.170551302692186e-33,80.14727070286165,978.0841228264372,3.487608991200456e-31,623667166.4776587,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,NO2,3.522101060437075e-114,216.8690854312727,594.5956860233343,2.3865214055189033e-90,2.844557848941391e-14,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,N2O,9.131528496378524e-100,207.4399947603478,607.9590553746149,2.9053964573522442e-86,0.0006333175492909069,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,H2S,1.2194952999608544e-65,160.2945414057233,691.6099158214698,7.635564279789784e-66,41648196434.95248,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,S,7.047810448119101e-64,150.86545073479837,712.8951836641147,9.222463988797814e-62,211735360.00146794,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,S2,4.610561076133286e-129,301.73090146959674,504.0930186441248,3.925518034930654e-127,162709515.34719107,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,SO2,1.2672740589432684e-133,301.73090146959674,504.0930186441248,3.925518034930654e-127,4472.287527219083,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,OH,4.993403608413641e-16,35.62950285522783,1384.3778520168337,4.806005372695508e-12,4297891.071718358,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,H2,459.7481519269611,4.191706218262096,4036.120329699712,89.37877587208426,1808620716476.8823,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,H2O,7.788046646860251e-13,37.725355964358876,1345.3734432332371,6.071827350070084e-13,50110476419.44707,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,H,0.11092193658748999,2.095853109131048,5707.9361096311,612.966976180279,127254243.29676636,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,O,2.0406244290273105e-16,33.53364974609677,1426.984027407775,3.7981981426401344e-11,236133.3826932177,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,C,3.146842059120833e-13,25.15023730957258,1647.7392247063503,1.452612913133727e-07,126950.87728245558,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,CH4,3.593110404124852e-10,33.53364974609677,1426.984027407775,3.7981981426401344e-11,415781219732.14923,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,CO,9.065234554166865e-22,58.68388705566935,1078.6985318235288,5.930126129056731e-22,38392729628.891396,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,CO2,1.732785139808544e-37,92.21753680176613,860.5037455894211,2.0187293081086354e-36,1371847565.8649125,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,O2,1.6464056452723389e-34,67.06729949219354,1009.030082424928,1.4463707059040685e-25,25.014922278407738,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,N,1.591324112773993e-18,29.341943527834676,1525.5100934167801,2.3594424387611655e-09,33.877638387559095,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,NO,5.428443761434605e-35,62.87559327393145,1042.1217880144113,9.270972343895374e-24,0.1372526408925253,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,356.6661207760379,N2,5.1844416251529694e-24,58.68388705566935,1078.6985318235288,5.930126129056731e-22,219569460.0089268,5362.907296859169,11674534.24305917,1959.2688164089393,364,True,Jeans,H2,1_M_earth,1_F_earth
