Filename,Element,Planet mass,Earth Flux,Atmospheric mass [kg],Global mass loss [kg],m/M,Radius impactor [m]
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.583420329976357e+21,0.5454545454545455,10689832.69719483
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.643678989272732e+21,0.5555555555555556,10755416.133499453
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.703749027676836e+21,0.5656565656565657,10820209.359832564
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.76359615048098e+21,0.5757575757575758,10884235.757403677
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.823186062977481e+21,0.5858585858585859,10947517.619786134
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.8824844704586515e+21,0.595959595959596,11010076.221293556
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.941457078216807e+21,0.6060606060606061,11071931.879977398
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.000069591544261e+21,0.6161616161616162,11133104.01575086
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.0582877157333265e+21,0.6262626262626263,11193611.20408958
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.116077156076321e+21,0.6363636363636365,11253471.225711258
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.1734036178655537e+21,0.6464646464646465,11312701.112594087
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.230232806393343e+21,0.6565656565656566,11371317.190656533
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.2865304269520005e+21,0.6666666666666667,11429335.1193881
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.3422621848338416e+21,0.6767676767676768,11486769.92869156
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.39739378533118e+21,0.686868686868687,11543636.053171428
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.4518909337363294e+21,0.696969696969697,11599947.364080435
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.5057193353416047e+21,0.7070707070707072,11655717.199115478
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.55884469543932e+21,0.7171717171717172,11710958.390236313
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.6112327193217875e+21,0.7272727272727273,11765683.289664118
