Filename,Element,Planet mass,Earth Flux,r_min [m],r_cap [m],r_gi [m],Cap mass [kg],Differential power law index q,Total impactor mass [kg/s],Mass loss rate [kg/s]
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,11807.128466661916,206.44026061646755
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,12421.909954526187,217.18933063253735
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,13068.702297433476,228.4980904390838
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,13749.172258064205,240.39568233968248
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,14465.073385216472,252.91276603892675
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,15218.250532643871,266.0815976514821
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,16010.644613183178,279.9361128250371
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,16844.297600423153,294.5120141913558
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,17721.357790803584,309.84686337079
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,18644.085339704852,325.9801777673451
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,19614.858085794294,342.95353240373504
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,20636.177678638567,360.81066705885456
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,21710.67602537267,379.5975989837567
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,22841.122073038256,399.362741486599
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,24030.428944069696,420.1570286921569
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,25281.661443315006,442.03404679739174
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,26598.043955937585,465.0501721613258
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,27982.968756551214,489.264716585074
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,29440.004751000397,514.7400801564083
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,30972.90667331413,541.5419120527456
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,32585.624761532297,569.7392797169238
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,34282.31493733974,599.40484684174
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,36067.349515740316,630.6150606219077
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,9.016312081991636e+18,3.0,37945.32847236942,663.4503487559718
