Filename,Element,Planet mass,Earth Flux,Planet radius,Planet mass [kg],Atmospheric mass [kg],Height [m],Density [kg/m^3],Temperature [K],MMW [g/mol],Effective scale height h [m]
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,66132823.437546186,4.84131452099671e-10,143.72153176293844,2.989971545343861,3418070.3433753005
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,67154114.6642743,2.2587538277386795e-10,141.72037857114398,2.48776151695606,4095822.1744361557
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,68368033.85177143,1.0969992273804124e-10,139.81285698356064,2.1556914151057107,4724315.672263915
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,69754903.56969246,5.783530986413417e-11,137.98195738661883,2.028495966016928,5028623.094472168
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,71215209.5932143,3.2104922886632567e-11,136.07363931564834,2.0083066740107167,5086939.648718372
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,0.0,25.64314502208661,2460.1129873,6.412933958520021,11236859.594267001
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,6701904.210201376,16.676051068068265,2120.323075285228,6.514472774513974,10642762.402194154
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,12509509.092357002,10.89231316587044,1827.2350078240363,6.645874497091949,9843679.332542114
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,17505123.794450708,7.069433998675772,1566.5746201598113,6.7023473513073695,9018703.232652267
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,21818187.56560577,4.607083700611763,1337.123351701144,6.756820299998019,8127674.847919556
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,25518572.99086764,2.9955688016298883,1135.1341296641492,6.759660203991877,7265550.259273347
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,28694338.388242643,1.959003290313921,957.7122090539724,6.75961819121977,6403304.869639001
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,31399724.69759984,1.289552753704527,802.7449018080617,6.759619308958407,5566292.63840126
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,33685984.464194976,0.8543358287461633,668.5507513652974,6.759618124004489,4778268.275566302
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,35603215.43661114,0.5693546408581405,553.5113503920593,6.759617916441496,4056362.276162407
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,37199710.84505071,0.3814202360531066,455.8816113598279,6.75961793450138,3410471.7294998677
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,38520916.31192033,0.2566718197108956,373.78685325940967,6.759617913674712,2843975.0205927687
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,39608487.21569866,0.1733532149582128,305.3632088159899,6.759617771426057,2355666.489686188
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,40499860.66934135,0.113021673743843,258.4242063616387,6.759616317906196,2016106.5484830113
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,41256222.71936777,0.064447396292329,250.0546375429511,6.759600067851321,1969419.848308398
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,41989739.512513965,0.0364073005167828,244.22635934912057,6.759511603796315,1941246.0218250589
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,42707732.82576288,0.0205614307088301,238.59841735724663,6.759409921331075,1913547.8059546123
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,43410688.49815304,0.0116048122763495,233.25059291598097,6.759309979690426,1887036.151142966
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,44099333.10025442,0.0065451127007679,228.1788912670208,6.759081359559465,1861804.5448282037
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,44774403.06213336,0.0036900723173215,223.2750787304549,6.7580873369839,1837221.0887398752
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,45436383.77307349,0.0020804172212344,218.48937723414707,6.757452944445119,1812619.913728392
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,46085505.88396251,0.0011719976868657,213.99121910101383,6.757383431139573,1789407.6912587956
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,46722491.16414725,0.0006601989651324,209.59609724487512,6.757210962424231,1766293.0883750618
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,47347583.64118686,0.0003717055305038,205.3880345761657,6.756739895992984,1744074.1561805187
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,47961299.0949466,0.0002091555823032,201.37202276720967,6.755931284655338,1722856.7487592313
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,48564175.52742507,0.000117666527496,197.4631308829392,6.754748420848462,1701971.1448533533
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,49156503.11398607,6.615354886062869e-05,193.7330836207117,6.752751265767574,1682180.2254901985
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,49738827.1773911,3.715709970555959e-05,190.1943405513,6.748648430297719,1663956.3030934646
H2_atmosphere_10_M_earth_1000_F_earth.csv,H2,10_M,1000_F,118500600.0,5.9720425295e+25,6.698161169294253e+25,50311841.74859445,2.086624547611268e-05,186.69348155648365,6.742243998893499,1646035.3666639763
