SEQ='O '     NUCCHG= 8                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  16323956.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    31713.4 
     3          2S2 2P3             (2)1( 2.5)    43680.5 

   LS RESOLVED TERM INDEXING            BWNR=  16421397.0   NTRM= 501
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   345     3    2S2 2P3 4P1         (1)1( 1.0)   130331.2*
   346     3    2S2 2P3 4P1         (3)1( 4.0)   131366.6*
   347     3    2S2 2P3 4P1         (1)2( 2.0)   131735.6*
   348     3    2S2 2P3 3P1         (1)0( 0.0)   132598.6*
   349     3    2S2 2P3 5S1         (3)1( 4.0)   133567.0*
   350     3    2S2 2P3 5S1         (1)1( 1.0)   133746.5*
   351     3    2S2 2P3 4D1         (3)3(10.0)   134222.9*
   352     3    2S2 2P3 4D1         (3)1( 4.0)   134226.9*
   353     3    2S2 2P3 4D1         (1)2( 2.0)   134231.9*
   354     3    2S2 2P3 4D1         (3)2( 7.0)   134239.4*
   355     3    2S2 2P3 4D1         (1)3( 3.0)   134248.9*
   356     3    2S2 2P3 4F1         (3)2( 7.0)   134261.8*
   357     3    2S2 2P3 4F1         (1)2( 2.0)   134262.0*
   358     3    2S2 2P3 4F1         (3)4(13.0)   134262.0*
   359     3    2S2 2P3 4F1         (1)4( 4.0)   134262.2*
   360     3    2S2 2P3 4F1         (1)3( 3.0)   134262.9*
   361     3    2S2 2P3 4F1         (3)3(10.0)   134262.9*
   362     3    2S2 2P3 4D1         (1)1( 1.0)   134273.7*
   363     3    2S2 2P3 5P1         (3)0( 1.0)   134788.6*
   364     3    2S2 2P3 5P1         (3)2( 7.0)   134848.6*
   365     3    2S2 2P3 5P1         (1)1( 1.0)   134890.5*
   366     3    2S2 2P3 4P1         (1)0( 0.0)   134909.0*
   367     3    2S2 2P3 5P1         (3)1( 4.0)   135321.9*
   368     3    2S2 2P3 5P1         (1)2( 2.0)   135450.7*
   369     3    2S2 2P3 6S1         (3)1( 4.0)   136384.6*
   370     3    2S2 2P3 6S1         (1)1( 1.0)   136474.3*
   371     3    2S2 2P3 5G1         (3)3(10.0)   136693.1*
   372     3    2S2 2P3 5G1         (1)3( 3.0)   136693.1*
   373     3    2S2 2P3 5G1         (3)4(13.0)   136693.1*
