SEQ='N '     NUCCHG= 7                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  11835491.1   NPRNTI= 4   NPRNTF= 4
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)    17957.0 
     3          2S2 2P2             (1)0( 0.0)    32477.5 
     4          2S1 2P3             (5)0( 2.0)    39696.0 

   LS RESOLVED TERM INDEXING            BWNR=  11943486.1   NTRM= 406
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   218     2    2S2 2P2 5F1         (2)4( 8.5)   121546.8*
   219     2    2S2 2P2 5D1         (2)4( 8.5)   121549.8*
   220     2    2S2 2P2 5F1         (2)3( 6.5)   121550.9*
   221     2    2S2 2P2 5F1         (2)2( 4.5)   121568.6*
   222     2    2S2 2P2 5F1         (2)5(10.5)   121572.6*
   223     2    2S2 2P2 5D1         (2)1( 2.5)   121585.3*
   224     2    2S2 2P2 5F1         (2)1( 2.5)   121587.2*
   225     2    2S2 2P2 5D1         (2)0( 0.5)   121624.7*
   226     2    2S2 2P2 6P1         (2)3( 6.5)   121907.0*
   227     2    2S2 2P2 6P1         (2)1( 2.5)   122201.6*
   228     2    2S2 2P2 6P1         (2)2( 4.5)   122251.9*
   229     2    2S2 2P2 7S1         (2)2( 4.5)   122779.1*
   230     2    2S2 2P2 6D1         (2)3( 6.5)   122864.0*
   231     2    2S2 2P2 6D1         (2)2( 4.5)   122883.0*
   232     2    2S2 2P2 6G1         (2)2( 4.5)   122884.5*
   233     2    2S2 2P2 6G1         (2)3( 6.5)   122884.5*
   234     2    2S2 2P2 6G1         (2)4( 8.5)   122884.5*
   235     2    2S2 2P2 6G1         (2)5(10.5)   122884.5*
   236     2    2S2 2P2 6G1         (2)6(12.5)   122884.5*
   237     2    2S2 2P2 6H1         (2)3( 6.5)   122893.8*
   238     2    2S2 2P2 6H1         (2)4( 8.5)   122893.8*
   239     2    2S2 2P2 6H1         (2)5(10.5)   122893.8*
   240     2    2S2 2P2 6H1         (2)6(12.5)   122893.8*
   241     2    2S2 2P2 6H1         (2)7(14.5)   122893.8*
   242     2    2S2 2P2 6F1         (2)4( 8.5)   122894.6*
   243     2    2S2 2P2 6D1         (2)4( 8.5)   122895.1*
   244     2    2S2 2P2 6F1         (2)3( 6.5)   122897.0*
   245     2    2S2 2P2 6F1         (2)2( 4.5)   122907.2*
   246     2    2S2 2P2 6F1         (2)5(10.5)   122909.5*
   247     2    2S2 2P2 6D1         (2)1( 2.5)   122916.2*
   248     2    2S2 2P2 6F1         (2)1( 2.5)   122918.0*
   249     2    2S2 2P2 6D1         (2)0( 0.5)   122938.8*
   250     4    2S1 2P3 3P1         (6)1( 8.5)   122996.2*
   251     2    2S2 2P2 7P1         (2)3( 6.5)   123107.2*
   252     2    2S2 2P2 7P1         (2)1( 2.5)   123279.9*
   253     2    2S2 2P2 7P1         (2)2( 4.5)   123308.8*
   254     2    2S2 2P2 8S1         (2)2( 4.5)   123634.7*
   255     2    2S2 2P2 7D1         (2)3( 6.5)   123687.2*
   256     2    2S2 2P2 7D1         (2)2( 4.5)   123699.2*
   257     2    2S2 2P2 7G1         (2)2( 4.5)   123700.4*
   258     2    2S2 2P2 7G1         (2)3( 6.5)   123700.4*
   259     2    2S2 2P2 7G1         (2)4( 8.5)   123700.4*
   260     2    2S2 2P2 7G1         (2)5(10.5)   123700.4*
   261     2    2S2 2P2 7G1         (2)6(12.5)   123700.4*
   262     2    2S2 2P2 7H1         (2)3( 6.5)   123706.2*
   263     2    2S2 2P2 7H1         (2)4( 8.5)   123706.2*
   264     2    2S2 2P2 7H1         (2)5(10.5)   123706.2*
   265     2    2S2 2P2 7H1         (2)6(12.5)   123706.2*
   266     2    2S2 2P2 7H1         (2)7(14.5)   123706.2*
   267     2    2S2 2P2 7D1         (2)4( 8.5)   123706.5*
   268     2    2S2 2P2 7F1         (2)4( 8.5)   123706.7*
   269     2    2S2 2P2 7F1         (2)3( 6.5)   123708.2*
   270     2    2S2 2P2 7I1         (2)4( 8.5)   123708.8*
   271     2    2S2 2P2 7I1         (2)5(10.5)   123708.8*
   272     2    2S2 2P2 7I1         (2)6(12.5)   123708.8*
   273     2    2S2 2P2 7I1         (2)7(14.5)   123708.8*
   274     2    2S2 2P2 7I1         (2)8(16.5)   123708.8*
   275     2    2S2 2P2 7F1         (2)2( 4.5)   123714.6*
   276     2    2S2 2P2 7F1         (2)5(10.5)   123716.1*
   277     2    2S2 2P2 7D1         (2)1( 2.5)   123720.0*
   278     2    2S2 2P2 7F1         (2)1( 2.5)   123721.4*
   279     2    2S2 2P2 7D1         (2)0( 0.5)   123734.2*
   280     2    2S2 2P2 8P1         (2)3( 6.5)   123842.3*
   281     2    2S2 2P2 8P1         (2)1( 2.5)   123952.4*
   282     2    2S2 2P2 8P1         (2)2( 4.5)   123970.6*
   283     2    2S2 2P2 8D1         (2)3( 6.5)   124220.3*
   284     2    2S2 2P2 8D1         (2)2( 4.5)   124228.4*
   285     2    2S2 2P2 8G1         (2)2( 4.5)   124229.3*
   286     2    2S2 2P2 8G1         (2)3( 6.5)   124229.3*
   287     2    2S2 2P2 8G1         (2)4( 8.5)   124229.3*
   288     2    2S2 2P2 8G1         (2)5(10.5)   124229.3*
   289     2    2S2 2P2 8G1         (2)6(12.5)   124229.3*
   290     2    2S2 2P2 8D1         (2)4( 8.5)   124233.2*
   291     2    2S2 2P2 8H1         (2)3( 6.5)   124233.2*
   292     2    2S2 2P2 8H1         (2)4( 8.5)   124233.2*
   293     2    2S2 2P2 8H1         (2)5(10.5)   124233.2*
   294     2    2S2 2P2 8H1         (2)6(12.5)   124233.2*
   295     2    2S2 2P2 8H1         (2)7(14.5)   124233.2*
   296     2    2S2 2P2 8F1         (2)4( 8.5)   124233.5*
   297     2    2S2 2P2 8F1         (2)3( 6.5)   124234.5*
   298     2    2S2 2P2 8I1         (2)4( 8.5)   124234.9*
   299     2    2S2 2P2 8I1         (2)5(10.5)   124234.9*
   300     2    2S2 2P2 8I1         (2)6(12.5)   124234.9*
   301     2    2S2 2P2 8I1         (2)7(14.5)   124234.9*
   302     2    2S2 2P2 8I1         (2)8(16.5)   124234.9*
   303     2    2S2 2P2 8J1         (2)5(10.5)   124235.8*
   304     2    2S2 2P2 8J1         (2)6(12.5)   124235.8*
   305     2    2S2 2P2 8J1         (2)7(14.5)   124235.8*
   306     2    2S2 2P2 8J1         (2)8(16.5)   124235.8*
   307     2    2S2 2P2 8J1         (2)9(18.5)   124235.8*
   308     2    2S2 2P2 8F1         (2)2( 4.5)   124238.8*
   309     2    2S2 2P2 8F1         (2)5(10.5)   124239.8*
   310     2    2S2 2P2 8D1         (2)1( 2.5)   124242.3*
   311     2    2S2 2P2 8F1         (2)1( 2.5)   124243.4*
   312     2    2S2 2P2 8D1         (2)0( 0.5)   124251.7*
   313     3    2S2 2P2 4S1         (2)0( 0.5)   127198.5*
   314     3    2S2 2P2 3D1         (2)2( 4.5)   128208.2*
   315     4    2S1 2P3 3P1         (4)1( 5.5)   130353.3*
   316     3    2S2 2P2 4P1         (2)1( 2.5)   130508.3*
   317     3    2S2 2P2 5S1         (2)0( 0.5)   133185.0*
   318     3    2S2 2P2 4D1         (2)2( 4.5)   133570.6*
   319     3    2S2 2P2 4F1         (2)3( 6.5)   133613.8*
   320     4    2S1 2P3 4S1         (6)0( 2.5)   133910.9*
   321     3    2S2 2P2 5P1         (2)1( 2.5)   134592.6*
   322     4    2S1 2P3 3D1         (6)2(14.5)   135356.4*
   323     4    2S1 2P3 3D1         (4)2( 9.5)   135501.4*
   324     4    2S1 2P3 4S1         (4)0( 1.5)   135821.2*
   325     3    2S2 2P2 6S1         (2)0( 0.5)   135869.6*
   326     3    2S2 2P2 5G1         (2)4( 8.5)   136049.7*
   327     3    2S2 2P2 5D1         (2)2( 4.5)   136057.8*
   328     3    2S2 2P2 5F1         (2)3( 6.5)   136082.8*
   329     4    2S1 2P3 4P1         (6)1( 8.5)   136554.5*
   330     3    2S2 2P2 6P1         (2)1( 2.5)   136597.9*
   331     3    2S2 2P2 7S1         (2)0( 0.5)   137302.7*
   332     3    2S2 2P2 6G1         (2)4( 8.5)   137405.0*
   333     3    2S2 2P2 6D1         (2)2( 4.5)   137408.7*
   334     3    2S2 2P2 6H1         (2)5(10.5)   137414.3*
