SEQ='C '     NUCCHG= 6                                                  /LS/

   PARENT TERM INDEXING                 BWNP=   8197449.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)    41056.5 

   LS RESOLVED TERM INDEXING            BWNR=   8280378.5   NTRM= 354
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   225     2    2S1 2P2 5D1         (5)1( 7.0)   119516.2*
   226     2    2S1 2P2 5D1         (3)1( 4.0)   119516.2*
   227     2    2S1 2P2 5G1         (5)3(17.0)   119568.1*
   228     2    2S1 2P2 5G1         (3)3(10.0)   119568.1*
   229     2    2S1 2P2 5G1         (5)4(22.0)   119568.1*
   230     2    2S1 2P2 5G1         (3)4(13.0)   119568.1*
   231     2    2S1 2P2 5G1         (5)5(27.0)   119568.1*
   232     2    2S1 2P2 5G1         (3)5(16.0)   119568.1*
   233     2    2S1 2P2 5D1         (5)2(12.0)   119572.1*
   234     2    2S1 2P2 5F1         (5)2(12.0)   119577.1*
   235     2    2S1 2P2 5F1         (3)2( 7.0)   119577.3*
   236     2    2S1 2P2 5D1         (3)3(10.0)   119584.4*
   237     2    2S1 2P2 5F1         (5)4(22.0)   119587.6*
   238     2    2S1 2P2 5F1         (3)4(13.0)   119588.5*
   239     2    2S1 2P2 5F1         (5)3(17.0)   119618.6*
   240     2    2S1 2P2 5F1         (3)3(10.0)   119619.7*
   241     2    2S1 2P2 5D1         (3)2( 7.0)   119672.8*
   242     2    2S1 2P2 6S1         (3)1( 4.0)   119828.3*
   243     2    2S1 2P2 6P1         (5)2(12.0)   119860.5*
   244     2    2S1 2P2 6P1         (5)1( 7.0)   119897.2*
   245     2    2S1 2P2 6P1         (3)0( 1.0)   120044.1*
   246     2    2S1 2P2 6P1         (3)2( 7.0)   120556.2*
   247     2    2S1 2P2 6P1         (3)1( 4.0)   120670.2*
   248     2    2S1 2P2 7S1         (5)1( 7.0)   120838.7*
   249     2    2S1 2P2 6P1         (5)0( 2.0)   120843.1*
